Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value
2007/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,157398.0
2008/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,158673.0
2008/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,162226.0
2008/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,163513.0
2008/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,156133.0
2009/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,151492.0
2009/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,149237.0
2009/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,152800.0
2009/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,159907.0
2010/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,161032.0
2010/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,155623.0
2010/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,157610.0
2010/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,163077.0
2011/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,163173.0
2011/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,167839.0
2011/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,169150.0
2011/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,172006.0
2012/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,172938.0
2012/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,174036.0
2012/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,174502.0
2012/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,174618.0
2013/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,176629.0
2013/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,178945.0
2013/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,180729.0
2013/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,182607.0
2014/03,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,184011.0
2014/06,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,185965.0
2014/09,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,186941.0
2014/12,Canada,Consolidated government,"Revenue (x 1,000,000)",v52530996,1.1.1,188438.0
1991/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,49543.0
1991/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,55219.0
1991/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,53555.0
1991/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,57257.0
1992/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,54526.0
1992/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,54433.0
1992/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,53717.0
1992/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,56672.0
1993/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,54085.0
1993/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,51907.0
1993/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,57411.0
1993/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,59945.0
1994/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,53871.0
1994/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,55682.0
1994/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,61674.0
1994/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,62304.0
1995/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,57046.0
1995/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,59334.0
1995/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,64378.0
1995/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,65020.0
1996/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,60181.0
1996/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,62790.0
1996/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,68224.0
1996/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,69868.0
1997/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,63876.0
1997/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,68287.0
1997/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,72680.0
1997/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,76088.0
1998/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,67334.0
1998/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,73050.0
1998/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,73988.0
1998/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,77256.0
1999/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,70557.0
1999/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,76773.0
1999/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,81167.0
1999/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,83725.0
2000/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,77056.0
2000/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,85028.0
2000/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,86847.0
2000/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,88016.0
2001/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,78399.0
2001/06,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,86209.0
2001/09,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,83702.0
2001/12,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,84156.0
2002/03,Canada,Consolidated government,"Taxes (x 1,000,000)",v52530997,1.1.2,75228.0
