Ref_Date,GEO,SECTORS,STATEMENT,Vector,Coordinate,Value
1991/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,229.0
1991/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,322.0
1991/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,334.0
1991/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,247.0
1992/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,369.0
1992/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,246.0
1992/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,374.0
1992/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,343.0
1993/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,344.0
1993/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,311.0
1993/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,348.0
1993/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,282.0
1994/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,176.0
1994/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,173.0
1994/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,260.0
1994/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,228.0
1995/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,175.0
1995/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,69.0
1995/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-11.0
1995/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-30.0
1996/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,33.0
1996/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-45.0
1996/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-88.0
1996/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-1558.0
1997/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-221.0
1997/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-212.0
1997/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-200.0
1997/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-239.0
1998/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-287.0
1998/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-266.0
1998/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-298.0
1998/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-293.0
1999/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-205.0
1999/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-78.0
1999/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-109.0
1999/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-45.0
2000/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-106.0
2000/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-133.0
2000/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-120.0
2000/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-71.0
2001/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-20.0
2001/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-67.0
2001/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-29.0
2001/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-12.0
2002/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-70.0
2002/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-176.0
2002/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-85.0
2002/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-254.0
2003/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-168.0
2003/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-80.0
2003/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-74.0
2003/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-54.0
2004/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,42.0
2004/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,103.0
2004/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,21.0
2004/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-111.0
2005/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,29.0
2005/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,104.0
2005/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,71.0
2005/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,99.0
2006/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,78.0
2006/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,56.0
2006/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,63.0
2006/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,89.0
2007/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,95.0
2007/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,85.0
2007/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,104.0
2007/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,125.0
2008/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,281.0
2008/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,267.0
2008/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,255.0
2008/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,259.0
2009/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,344.0
2009/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-139.0
2009/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-124.0
2009/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,228.0
2010/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,547.0
2010/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,115.0
2010/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,123.0
2010/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,254.0
2011/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,327.0
2011/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-223.0
2011/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,16.0
2011/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,109.0
2012/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-18.0
2012/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-118.0
2012/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-148.0
2012/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-89.0
2013/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-104.0
2013/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-298.0
2013/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-273.0
2013/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-283.0
2014/03,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-207.0
2014/06,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-5629.0
2014/09,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-328.0
2014/12,Canada,Federal government,"Net acquisition of nonfinancial assets (x 1,000,000)",v52531075,1.2.23,-248.0
1991/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-14857.0
1991/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-6791.0
1991/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-8704.0
1991/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-6115.0
1992/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-12236.0
1992/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-6589.0
1992/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-8495.0
1992/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-8449.0
1993/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-14631.0
1993/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-9192.0
1993/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7867.0
1993/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7891.0
1994/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-14947.0
1994/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7327.0
1994/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5638.0
1994/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7029.0
1995/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-15182.0
1995/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-6247.0
1995/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-4687.0
1995/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5373.0
1996/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-14553.0
1996/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-2232.0
1996/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-549.0
1996/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,571.0
1997/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7398.0
1997/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3946.0
1997/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,4987.0
1997/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5194.0
1998/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5859.0
1998/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5679.0
1998/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5056.0
1998/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3138.0
1999/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7217.0
1999/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3750.0
1999/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,6335.0
1999/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,6161.0
2000/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-1494.0
2000/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,7088.0
2000/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,8223.0
2000/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,7045.0
2001/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-3302.0
2001/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,9147.0
2001/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5219.0
2001/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,1205.0
2002/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-6516.0
2002/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,6068.0
2002/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,4865.0
2002/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5459.0
2003/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5106.0
2003/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,271.0
2003/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,4143.0
2003/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5877.0
2004/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-4486.0
2004/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3809.0
2004/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,6323.0
2004/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5602.0
2005/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-9397.0
2005/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3588.0
2005/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,1921.0
2005/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5170.0
2006/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-2660.0
2006/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5904.0
2006/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,2074.0
2006/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,7398.0
2007/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-829.0
2007/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5802.0
2007/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,5663.0
2007/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,4240.0
2008/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7206.0
2008/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,118.0
2008/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3462.0
2008/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,1608.0
2009/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-13768.0
2009/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7384.0
2009/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5923.0
2009/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-2594.0
2010/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-16568.0
2010/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-7208.0
2010/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-11686.0
2010/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-4625.0
2011/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-20701.0
2011/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-2821.0
2011/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-5959.0
2011/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-1886.0
2012/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-13032.0
2012/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-1379.0
2012/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-1326.0
2012/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-1281.0
2013/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-13922.0
2013/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-103.0
2013/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,447.0
2013/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,1856.0
2014/03,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,-10600.0
2014/06,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,7035.0
2014/09,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,1795.0
2014/12,Canada,Federal government,"Net lending or borrowing (x 1,000,000)",v52531076,1.2.24,3740.0
1991/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,2277.0
1991/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-2299.0
1991/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,1119.0
1991/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-2109.0
1992/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,544.0
1992/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-3579.0
1992/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,254.0
1992/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-4675.0
1993/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,7268.0
1993/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-4671.0
1993/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-287.0
1993/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,4403.0
1994/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-5.0
1994/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-1989.0
1994/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,3133.0
1994/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-2403.0
1995/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,7126.0
1995/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-954.0
1995/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,9187.0
1995/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-7955.0
1996/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,10761.0
1996/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-6595.0
1996/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,3616.0
1996/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,3161.0
1997/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,12166.0
1997/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-6039.0
1997/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-1203.0
1997/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,6983.0
1998/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,7836.0
1998/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-11083.0
1998/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-753.0
1998/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,10281.0
1999/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,13781.0
1999/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-5267.0
1999/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,1972.0
1999/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,13895.0
2000/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,8640.0
2000/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-6383.0
2000/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,310.0
2000/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,1765.0
2001/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,22759.0
2001/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-13474.0
2001/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,13220.0
2001/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5175.0
2002/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,3402.0
2002/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-5239.0
2002/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-761.0
2002/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,2780.0
2003/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,11496.0
2003/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-9428.0
2003/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,4327.0
2003/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5299.0
2004/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5176.0
2004/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-2854.0
2004/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-8547.0
2004/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-2165.0
2005/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,14589.0
2005/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-6313.0
2005/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,3514.0
2005/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5918.0
2006/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,7840.0
2006/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-14669.0
2006/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-542.0
2006/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,13201.0
2007/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,9710.0
2007/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-6177.0
2007/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,-8759.0
2007/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5426.0
2008/03,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,8325.0
2008/06,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,2295.0
2008/09,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,5068.0
2008/12,Canada,Federal government,"Net acquisition of financial assets (x 1,000,000)",v52531077,1.2.25,58449.0
