specimen,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,ES17,ES18,ES19,ES20
577 NAZ2 124.tif,-0.102845594,-0.02699589,-0.075330549,-0.046015093,-0.036469918,-0.009625688,0.022200725,0.017698756,0.016182044,0.004131567,0.046336096,-0.004019336,0.036030259,-0.031407111,-0.00756371,-0.004452233,0.002157217,-0.024635,0.017360278,0.007189231
585 NAZ2 132.tif,-0.158793834,0.088178838,0.017668052,0.112328078,-0.050053442,0.072413537,0.028348911,0.027389539,0.043397343,0.012461665,0.033070171,-0.017045919,-0.085039776,-0.006521542,-0.024943142,0.051882434,0.046273181,-0.013784877,-0.049836318,0.049643678
594 NAZ2 141.tif,-0.05586367,0.130722266,0.008506296,-0.008318853,0.006846627,-0.005340588,-0.026248539,-0.022004674,0.016054333,-0.012221335,-0.006399641,-0.051870003,-0.008465298,-0.036058805,0.027826648,-0.029004895,0.019378253,-0.016579685,-0.004195118,0.01783081
597 NAZ2 144.tif,-0.01568874,-0.025016669,-0.050366256,-0.024363737,-0.056529901,-0.020257502,-0.050491647,0.034890622,0.004660214,0.035070659,0.006936923,0.083545968,0.014644561,0.071941752,0.066101872,0.025449034,0.023543273,-0.052346762,0.041290161,0.052969196
601 NAZ2 148.tif,-0.049739174,0.013549733,-0.035450148,0.038056866,-0.009582644,0.075941195,0.049147925,0.047313875,0.015799519,0.03654194,-0.066213155,-0.063628098,0.006828887,-0.096245566,0.023090338,-0.068880739,-0.000896608,-0.009795064,-0.008054054,0.001600643
602 NAZ2 149.tif,-0.134992095,0.080693413,-0.052879346,0.094719321,-0.079519797,0.020169803,0.025766459,-0.041286477,0.013027038,-0.001246006,0.042107638,0.012900694,-0.001383119,0.030135813,0.018724315,0.003683561,-0.021081304,-0.009876828,0.028587767,-0.047899008
604 NCA10 1.tif,0.010501096,0.020845933,0.001299593,-0.052808773,0.063280508,0.009630186,-0.023717252,0.055698366,0.005750326,0.028090309,-0.029279797,0.030028116,-0.024902499,0.029465812,-0.011999984,-0.011210028,0.014189099,0.011409277,0.006601446,-0.010677378
609 NCA10 6.tif,-0.026699292,-0.090158474,0.081792961,-9.83E-05,0.051896807,-0.021101602,0.003782262,-0.056283542,0.002757221,-0.020911642,0.001226614,-0.025580688,-0.014644671,-0.004628809,-0.024424441,-0.005599135,0.00137889,0.0083331,-0.005170345,0.031518881
613 NCA10 10.tif,0.093417756,0.000376911,0.035756954,-0.043908259,0.019669307,-0.0404913,0.008375601,0.000372431,0.006581973,-0.00157216,-0.014366415,0.018750533,-0.003584974,0.009406774,0.021799383,-0.019992402,0.026174785,0.01693586,-0.00240491,-0.019770898
619 NCA10 16.tif,0.047982136,-0.021434836,-0.011906556,-0.020303013,0.036742231,0.038888817,0.031720563,0.037625785,-0.04620457,-0.015809669,0.012324012,0.030590062,0.00499325,0.020855389,0.020889436,-0.006245507,-0.069633396,0.010112405,-0.00350947,-0.008577358
621 NCA10 18.tif,0.008363693,-0.104785188,0.086606548,-0.000575972,0.018196705,-0.046642474,0.018521173,0.014539032,0.011919072,0.020217201,0.018205075,-0.002232381,0.01540416,0.008043951,0.008403879,0.014819066,-0.006573604,-0.042014805,0.003159908,0.010719219
624 NCA10 21.tif,0.010452682,-0.07799115,0.01666362,-0.036451155,0.048336435,0.007278862,0.009171261,-0.014832008,-0.017143662,0.037466986,0.022084422,-0.006001974,-0.015820773,-0.003067535,5.34E-05,-0.025203259,0.020812691,-0.01818219,0.01033403,0.000133661
625 NCA10 22.tif,0.119377978,-0.060018096,0.129643238,0.025375775,0.000407411,-0.014878823,-0.012287381,0.039396677,-0.028988465,0.023058027,0.034199451,-0.00662164,0.01546433,-0.00131497,-0.027936329,-0.005526411,-0.009729061,-0.001880039,-0.001058668,-0.020442449
627 NCA10 24.tif,-0.030931026,-0.016608009,0.152130566,-0.012047962,0.078762798,-0.038772983,-0.053060278,-0.008246365,0.005653871,0.042315993,0.029721852,-0.00113346,-0.033098164,-0.030420857,-0.009257777,-0.000237863,0.003903055,0.017572173,-0.037164063,0.000181744
629 NCA10 26.tif,-0.014351017,0.028242554,0.027796557,-0.048990597,0.071072911,0.054705895,0.00022961,-0.005028345,-0.015395951,-0.019372917,0.001086114,0.048578502,-0.02742923,-0.035360813,0.05257688,-0.044688711,-0.009340827,-0.075127364,-0.018852194,0.080361673
631 NCA10 28.tif,0.06936442,0.010152541,0.105497132,0.020101641,-0.004519912,0.025867061,-0.025166165,0.047070335,0.031678536,0.023383868,-0.027743976,-0.021223407,-0.017337291,0.01620767,0.045271335,0.031161154,-0.010942657,0.016533656,0.02167082,-0.004155195
635 NCA20 1.tif,0.099584793,-0.050127551,0.035657876,-0.089669289,0.029003042,-0.047569403,0.004444689,-0.00732075,-0.003301014,-0.007389893,0.038876081,-0.023347703,0.002977045,0.010660519,0.021798812,0.01703485,-0.028875686,-0.007883176,-0.005807632,-0.011368276
637 NCA20 3.tif,0.048755358,-0.021219366,0.02957808,-0.024928548,0.040493329,-0.021733983,-0.038420064,0.021395289,-0.02066581,0.040573605,0.007386943,-0.017945896,0.042210536,-0.013518556,0.024337354,0.009179463,0.010659379,0.003285428,-0.028851479,-0.014250657
639 NCA20 5.tif,0.025214351,-0.035887134,0.048194062,-0.008692081,0.031451943,-0.050578598,-0.027095133,-0.031733979,-0.014758715,0.007037991,0.004883984,0.001058643,-0.00575346,-0.030187253,0.008158531,0.007089343,-0.01541336,-0.013056314,0.007873102,-0.009978362
